pareto_p,yield_thresh,n_rounds,k_escape,survey,recall,corpus_size,n_rounds_run,recall_r1,recall_r2,recall_r3
10,0.02,1,50,S3_TOPO,0.5322997416020672,23021,1,0.5322997416020672,,
10,0.02,2,5,S1_MIT,0.520618556701031,37519,2,0.4793814432989691,0.520618556701031,
10,0.02,2,5,S2_UCG,0.43287037037037035,32133,2,0.3148148148148148,0.43287037037037035,
10,0.02,2,5,S3_TOPO,0.5503875968992248,36013,2,0.5322997416020672,0.5503875968992248,
10,0.02,2,10,S1_MIT,0.5532646048109966,45777,2,0.4793814432989691,0.5532646048109966,
10,0.02,2,10,S2_UCG,0.5347222222222222,44563,2,0.3148148148148148,0.5347222222222222,
10,0.02,2,10,S3_TOPO,0.5503875968992248,45721,2,0.5322997416020672,0.5503875968992248,
10,0.02,2,20,S1_MIT,0.6099656357388317,62799,2,0.4793814432989691,0.6099656357388317,
10,0.02,2,20,S2_UCG,0.5949074074074074,63212,2,0.3148148148148148,0.5949074074074074,
10,0.02,2,20,S3_TOPO,0.5607235142118863,51259,2,0.5322997416020672,0.5607235142118863,
10,0.02,2,50,S1_MIT,0.7508591065292096,88131,2,0.4793814432989691,0.7508591065292096,
10,0.02,2,50,S2_UCG,0.7152777777777778,89284,2,0.3148148148148148,0.7152777777777778,
10,0.02,2,50,S3_TOPO,0.6175710594315246,75895,2,0.5322997416020672,0.6175710594315246,
10,0.02,3,5,S1_MIT,0.5309278350515464,44251,3,0.4793814432989691,0.520618556701031,0.5309278350515464
10,0.02,3,5,S2_UCG,0.4513888888888889,45011,3,0.3148148148148148,0.43287037037037035,0.4513888888888889
10,0.02,3,5,S3_TOPO,0.5503875968992248,46072,3,0.5322997416020672,0.5503875968992248,0.5503875968992248
10,0.02,3,10,S1_MIT,0.6563573883161512,56142,3,0.4793814432989691,0.5532646048109966,0.6563573883161512
10,0.02,3,10,S2_UCG,0.6111111111111112,56739,3,0.3148148148148148,0.5347222222222222,0.6111111111111112
10,0.02,3,10,S3_TOPO,0.6149870801033591,52280,3,0.5322997416020672,0.5503875968992248,0.6149870801033591
10,0.02,3,20,S1_MIT,0.7268041237113402,83443,3,0.4793814432989691,0.6099656357388317,0.7268041237113402
